0,1,2,3,4,5,6,7,8,9,10,11
-9.067023,-8.94079,-8.762072,-8.620507,-8.574893,-8.580709,-8.5724325,-8.553339,-8.531348,-8.462142,-8.30937,-8.207621
-3.5252385,-3.439348,-3.4821646,-3.4820592,-3.4780393,-3.4930518,-3.454791,-3.3670387,-3.2252467,-3.1059954,-3.0683744,-3.0631936
34.305923,34.410717,34.424225,34.438526,34.44987,34.453384,34.45018,34.43109,34.419174,34.403088,34.383854,34.384216
47.40776,47.420013,47.464172,47.58187,47.79193,47.90552,47.897797,47.86058,47.881603,47.81471,47.87027,47.886776
48.83512,49.07756,49.175446,49.216927,49.248367,49.288963,49.385456,49.470592,49.505287,49.545532,49.601826,49.77745
45.741405,45.816994,45.85775,45.89931,45.934223,46.038097,46.12751,46.164665,46.178818,46.189693,46.18876,46.17604
63.96777,64.04332,64.14856,64.26178,64.30746,64.32845,64.34297,64.351685,64.35968,64.37676,64.38881,64.40998
68.45167,68.51548,68.543335,68.57175,68.57624,68.620865,68.720055,68.81886,68.8572,68.86572,68.92217,69.070145
80.0478,79.95805,79.98209,80.005974,79.98321,79.90035,79.94028,80.027794,80.174324,80.19825,80.224655,80.28028
87.847626,87.859695,87.90374,87.83799,87.85236,87.92438,87.88321,87.94597,87.93433,87.97464,87.92184,88.05393
80.75973,80.7678,80.83782,80.92953,81.01159,81.027664,81.031265,81.0255,81.03092,81.04911,81.10083,81.17944
87.37627,87.45627,87.5043,87.523315,87.52267,87.5141,87.503044,87.49747,87.48565,87.47352,87.47479,87.47063
-3.0015702,-3.0142512,-3.0004299,-2.957777,-2.9226322,-2.9123206,-2.9139361,-2.916973,-2.9216714,-2.906991,-2.932508,-2.937057
78.556656,78.622215,78.60484,78.61364,78.620026,78.62294,78.624176,78.63458,78.59914,78.647804,78.607735,78.59503
77.671555,77.86155,77.94154,78.0434,78.217735,78.348434,78.38414,78.3946,78.4023,78.41165,78.42601,78.42822
73.6114,73.61149,73.62679,73.6438,73.64243,73.63147,73.67598,73.739944,73.8554,73.98046,74.16274,74.23135
82.59193,82.65827,82.65471,82.64032,82.645546,82.66191,82.67035,82.679184,82.64659,82.691536,82.7044,82.720375
86.367744,86.44158,86.41511,86.41087,86.43111,86.52562,86.71658,86.82356,86.85895,86.84936,86.821625,86.78474
90.69909,90.61653,90.683266,90.707825,90.64253,90.81289,90.82704,90.8776,91.008995,91.198006,91.32241,91.25634
87.615906,87.856606,88.017845,88.1014,88.141914,88.16207,88.156006,88.102135,88.114586,88.26905,88.43372,88.49388
101.88948,101.92041,101.98079,101.91717,101.92806,102.00077,101.90025,101.98585,101.98202,102.034584,102.05664,102.01241
89.55814,89.19567,89.12732,89.22166,89.24932,89.29152,89.3309,89.316574,89.416595,89.50442,89.67711,89.6978
94.2794,94.46944,94.543915,94.5973,94.692,94.762375,94.80502,94.84122,94.86297,94.93189,95.09656,95.28835
7.430573,7.551076,7.659153,7.7620564,7.7882776,7.8027487,7.9228954,8.03812,8.2342825,8.428687,8.425318,8.443424
85.97519,85.89736,85.80142,85.76457,85.74757,85.72953,85.82437,85.926834,86.07644,86.086624,86.20042,86.28528
67.78427,67.76461,67.77126,67.823685,67.920334,67.98735,68.07505,68.24632,68.32062,68.354866,68.3618,68.371445
81.50411,81.69716,81.87417,81.988716,82.051704,82.156624,82.34215,82.46623,82.543686,82.629196,82.67383,82.67371
84.43489,84.499794,84.550705,84.569115,84.648155,84.73915,84.78597,84.79604,84.77541,84.75942,84.74343,84.72083
87.36201,87.30318,87.31539,87.33065,87.34294,87.40439,87.64063,87.93104,88.02605,88.02265,88.03902,88.04639
89.777885,90.0462,90.16358,90.19169,90.26402,90.3671,90.45481,90.45179,90.441315,90.455956,90.460106,90.46172
98.22843,98.32131,98.44422,98.48732,98.5397,98.52632,98.527954,98.51635,98.49617,98.48215,98.47696,98.459785
90.90544,90.65839,90.656586,90.684456,90.69336,90.772446,90.81921,90.856544,90.90398,90.92911,90.927666,91.1747
69.17836,69.1704,69.17067,69.167915,69.20422,69.224884,69.279495,69.316826,69.30172,69.384254,69.39902,69.45926
82.88062,82.74693,82.85837,82.78108,82.84316,82.78595,82.87234,83.05436,83.28426,83.437965,83.425385,83.40344
1.3824146,1.4754775,1.4764194,1.4821384,1.4677875,1.4948492,1.49687,1.5332696,1.732914,1.8512714,1.9142201,1.9388356
66.3918,66.41662,66.43423,66.45649,66.49095,66.56281,66.696724,66.762634,66.789345,66.82094,66.934525,67.14066
67.967415,68.094864,68.164116,68.20139,68.30473,68.40303,68.509285,68.65544,68.76253,68.82873,68.84753,68.848236
49.72051,49.71387,49.755302,49.783417,49.815624,49.84658,49.877,49.916363,50.03218,50.206142,50.25553,50.316044
